event_title,event_volume,market_question,yes_pct,market_volume,closed,clob_token_id
MegaETH public sale total commitments?,59937576.066678,Over $1.8B committed to the MegaETH public sale?,0.0,14824151.336275,True,76492164533928870323003399428434883814379015582846655004402405220184273463537
MegaETH public sale total commitments?,59937576.066678,Over $3B committed to the MegaETH public sale?,0.0,3025670.105145,True,6428073617424230145813620875987214131099935496135695163677294496469756735461
MegaETH public sale total commitments?,59937576.066678,Over $4B committed to the MegaETH public sale?,0.0,989317.444237,True,77970829646342801770668777915338970225530746267104536014044971916767589986871
MegaETH public sale total commitments?,59937576.066678,Over $1B committed to the MegaETH public sale?,100.0,13431462.485535,True,111923692478940463301382179582734497104620006899434472950425988974276360175989
MegaETH public sale total commitments?,59937576.066678,Over $1.4B committed to the MegaETH public sale?,0.0,16882337.715217,True,111058312536766316728443281804160781741508280590659176858381902358519748884946
MegaETH public sale total commitments?,59937576.066678,Over $1.2B committed to the MegaETH public sale?,100.0,7303312.840744,True,74602022182296541332865239741980929567060106315566791053532189440036022083210
MegaETH public sale total commitments?,59937576.066678,Over $1.1B committed to the MegaETH public sale?,100.0,1018788.093208,True,19830464288122867540172465657429506675939735550583693937484567971384549699156
MegaETH public sale total commitments?,59937576.066678,Over $1.3B committed to the MegaETH public sale?,100.0,2462536.046317,True,68764325563339252387027367361165887433321252136105403315881093642389397900909
Monad FDV one day after launch?,53790536.758206,Monad market cap (FDV) >$2B one day after launch?,100.0,7362833.34727,True,74613028027513134128955311548776374441793397100774125435275515858595795089143
Monad FDV one day after launch?,53790536.758206,Monad market cap (FDV) >$6B one day after launch?,0.0,1591809.883869,True,104797616449656473575071969337776074257635676372627894320909124081720734602653
Monad FDV one day after launch?,53790536.758206,Monad market cap (FDV) >$8B one day after launch?,0.0,1034004.454179,True,18013787560460347139047830297648054801420643474312709675080029893748595918413
Monad FDV one day after launch?,53790536.758206,Monad market cap (FDV) >$10B one day after launch?,0.0,578789.702769,True,73159947488418897105843266987344941241349625889516919211698007708724610471772
Monad FDV one day after launch?,53790536.758206,Monad market cap (FDV) >$12B one day after launch?,0.0,377186.088584,True,87492427393210114756665241565235333236682637899766727547362251833935525200003
Monad FDV one day after launch?,53790536.758206,Monad market cap (FDV) >$14B one day after launch?,0.0,403149.632269,True,21310872209238372562588377998799589099287896581288645412843474556614372834537
Monad FDV one day after launch?,53790536.758206,Monad market cap (FDV) >$4B one day after launch?,0.0,34894820.551069,True,39765353778464750787631192721907889057482998132457144837307768128298789022189
Monad FDV one day after launch?,53790536.758206,Monad market cap (FDV) >$3B one day after launch?,100.0,5678577.132887,True,3521185558146055272794530321557220198818390662788847164015732554215501209964
Monad FDV one day after launch?,53790536.758206,Monad market cap (FDV) >$5B one day after launch?,0.0,1869365.96531,True,81139693715697998105891703419812717114748232363672997593448486172932719751528
Lighter market cap (FDV) one day after launch?,51765559.376661,Lighter market cap (FDV) >$2B one day after launch?,67.0,11724336.928737,False,56570835185013181930169513733177012805556365530301435672575968757674556017763
Lighter market cap (FDV) one day after launch?,51765559.376661,Lighter market cap (FDV) >$6B one day after launch?,3.5,3372778.382797,False,22371179586988554835990556118520194783725046132579845834642380817963855370367
Lighter market cap (FDV) one day after launch?,51765559.376661,Lighter market cap (FDV) >$4B one day after launch?,19.0,5549802.900846,False,105090431466795848420500177147419402976010608107899033764467865695481603432708
Lighter market cap (FDV) one day after launch?,51765559.376661,Lighter market cap (FDV) >$8B one day after launch?,0.7,1398378.319878,False,84701223520078153887087925143138970316982780383627420730716324170374008623022
Lighter market cap (FDV) one day after launch?,51765559.376661,Lighter market cap (FDV) >$10B one day after launch?,0.4,764078.4397,False,25420155811050289930395662578734184501083105901322253552385180411986089708252
Lighter market cap (FDV) one day after launch?,51765559.376661,Lighter market cap (FDV) >$14B one day after launch?,0.1,670735.245645,False,97231742292451706602233319726204179966897497466214716805094324616792389765284
Lighter market cap (FDV) one day after launch?,51765559.376661,Lighter market cap (FDV) >$1B one day after launch?,69.0,24030296.254922,False,108054592060808479303370270554306028883916458239782628449790057811735078958789
Lighter market cap (FDV) one day after launch?,51765559.376661,Lighter market cap (FDV) >$3B one day after launch?,35.0,4410612.131559,False,39990519069078050877939785178382282910283627213228178395713951019444406574966
Monad public sale total commitments above ___ ?,35632507.922721,Over $300M committed to the Monad public sale?,0.0,5118740.992131,True,17729640410767428830891271907670356081389789554536307716651081291770350315708
Monad public sale total commitments above ___ ?,35632507.922721,Over $2B committed to the Monad public sale?,0.0,527187.399393,True,25314189650648656359713231998249944240791907252645034205276709720176057076429
Monad public sale total commitments above ___ ?,35632507.922721,Over $1B committed to the Monad public sale?,0.0,1677224.643795,True,7524646300047292940101472824767902907369045052626947838902981120980759897883
Monad public sale total commitments above ___ ?,35632507.922721,Over $3B committed to the Monad public sale?,0.0,548371.272255,True,89651599216654752186532820126691269877500306744840582815057913466706578381881
Monad public sale total commitments above ___ ?,35632507.922721,Over $225M committed to the Monad public sale?,100.0,2056361.312256,True,69563501224817536593336708854946983811738658514460798977217026015618839592202
Monad public sale total commitments above ___ ?,35632507.922721,Over $275M committed to the Monad public sale?,0.0,2615565.199108,True,106549974005665316656200606664361144750901713986380570970702408994607072943675
Monad public sale total commitments above ___ ?,35632507.922721,Over $800M committed to the Monad public sale?,0.0,1717588.925703,True,85365969143042890318502353153697282149768615210717124093728494609516455662574
Monad public sale total commitments above ___ ?,35632507.922721,Over $1.4B committed to the Monad public sale?,0.0,282431.645544,True,45453518020973871850950717979634283130247995566062054743090579419591925662247
Monad public sale total commitments above ___ ?,35632507.922721,Over $1.2B committed to the Monad public sale?,0.0,560675.413567,True,80407377350863450159763864527626412322831409834619366064013429496036352884279
Monad public sale total commitments above ___ ?,35632507.922721,Over $600M committed to the Monad public sale?,0.0,3727404.500647,True,108752939681377150687334949550002966716999203606653030120268820072820568683592
Monad public sale total commitments above ___ ?,35632507.922721,Over $1.6B committed to the Monad public sale?,0.0,295180.434192,True,76411858006557317122509407312173706157699769343396782463587577409477167124909
Monad public sale total commitments above ___ ?,35632507.922721,Over $400M committed to the Monad public sale?,0.0,4953557.13802,True,14212502447901373932695986684135871935804266051880921687302061690055379880889
Monad public sale total commitments above ___ ?,35632507.922721,Over $200M committed to the Monad public sale?,100.0,3484734.221107,True,81596571123405554538853892971684209581832824926429889395358946997758297210497
Monad public sale total commitments above ___ ?,35632507.922721,Over $250M committed to the Monad public sale?,100.0,8067484.825003,True,81296010956702402345839154586308759876087322519415900431182767010417003472712
Monad airdrop by...?,23963210.084108,Will Monad perform an airdrop by June 30?,100.0,1227801.464404,True,37793513028835483114053554893311742351065410932598733298691460693496507481313
Monad airdrop by...?,23963210.084108,Will Monad perform an airdrop by September 30? ,0.0,322080.223395,True,106986261717642553178498342062682345131354379842132199613786562966624433285052
Monad airdrop by...?,23963210.084108,Will Monad perform an airdrop by December 31?,100.0,1218316.108048,True,8683643916262438088845569836704745883336747772772657008121614675106320191464
Monad airdrop by...?,23963210.084108,Will Monad perform an airdrop by October 31? ,0.0,11023838.946488,True,21484687121848686656655589707363818796614714096018493290756372403371180191710
Monad airdrop by...?,23963210.084108,Will Monad perform an airdrop by November 30? ,0,0.0,False,15830930738193381492968505754992004131358300174259818405226194675968768547296
Monad airdrop by...?,23963210.084108,Will Monad perform an airdrop by November 30? ,100.0,2433246.231915,True,60043507414011765631059133777505663406403078301381200841143228858184358516095
Monad airdrop by...?,23963210.084108,Will Monad perform an airdrop by November 15? ,0.0,3865085.474248,True,55599055711109233774740394159354520314007746047934237587192811868237621418039
Monad airdrop by...?,23963210.084108,Will Monad perform an airdrop by December 15? ,100.0,1352832.571289,True,2819022783059790408130090838641048154064807578825772516950955820380009298958
Monad airdrop by...?,23963210.084108,Will Monad perform an airdrop by November 20? ,0.0,789511.424977,True,87345182607944189498305647912213432254268754820700562620689780576756054274166
